ebn0_db,simulated_ber,theoretical_ber,bits,errors,ber_upper_95,ber_for_lut
-5.0,0.36734,0.3644467070550123,100000,36734,0.3698510901413774,0.36734
-4.0,0.33625,0.33579502456390037,100000,33625,0.33871171504702074,0.33625
-3.0,0.30097,0.3029054967040009,100000,30097,0.3033611735192623,0.30097
-2.0,0.26543,0.2660410855852929,100000,26543,0.2677331010451191,0.26543
-1.0,0.22684,0.2259423467152058,100000,22684,0.229025693762575,0.22684
0.0,0.18384,0.18393972058572117,100000,18384,0.18586335831050968,0.18384
1.0,0.14037,0.14197950080158067,100000,14037,0.14218657348457406,0.14037
2.0,0.10169,0.1024848421276144,100000,10169,0.10327288939982542,0.10169
3.0,0.06806,0.06798899021423577,100000,6806,0.069381708073262,0.06806
4.0,0.04011,0.04055753839216114,100000,4011,0.04114312479944926,0.04011
5.0,0.02172,0.021164609811602494,100000,2172,0.022491248560579834,0.02172
6.0,0.0092,0.00933281228075946,100000,920,0.009710057745843588,0.0092
7.0,0.00318,0.0033292124088160078,100000,318,0.003486598331897827,0.00318
8.0,0.0009833333333333332,0.0009094044480786029,300000,295,0.0010820654147829568,0.0009833333333333332
9.0,0.000181,0.00017751960085332795,1000000,181,0.00020452077089358445,0.000181
10.0,2.7e-05,2.2699964881242427e-05,1000000,27,3.700586132230196e-05,2.7e-05
11.0,3e-06,1.7042229507027434e-06,1000000,3,7.506574075650569e-06,3e-06
12.0,0.0,6.544347099567535e-08,1000000,0,2.7055361341498352e-06,2.7055361341498352e-06
13.0,0.0,1.0805773770868036e-09,1000000,0,2.7055361341498352e-06,2.7055361341498352e-06
14.0,0.0,6.16574899223656e-12,1000000,0,2.7055361341498352e-06,2.7055361341498352e-06
15.0,0.0,9.233633312048473e-15,1000000,0,2.7055361341498352e-06,2.7055361341498352e-06
16.0,0.0,2.566819125526292e-18,1000000,0,2.7055361341498352e-06,2.7055361341498352e-06
17.0,0.0,8.564164643184703e-23,1000000,0,2.7055361341498352e-06,2.7055361341498352e-06
18.0,0.0,1.9808003401942394e-28,1000000,0,2.7055361341498352e-06,2.7055361341498352e-06
19.0,0.0,1.5912304769367223e-35,1000000,0,2.7055361341498352e-06,2.7055361341498352e-06
20.0,0.0,1.860037988010418e-44,1000000,0,2.7055361341498352e-06,2.7055361341498352e-06
21.0,0.0,1.0581178902603883e-55,1000000,0,2.7055361341498352e-06,2.7055361341498352e-06
22.0,0.0,7.377907655592056e-70,1000000,0,2.7055361341498352e-06,2.7055361341498352e-06
23.0,0.0,1.1112932342313751e-87,1000000,0,2.7055361341498352e-06,2.7055361341498352e-06
24.0,0.0,4.0656348189368424e-110,1000000,0,2.7055361341498352e-06,2.7055361341498352e-06
25.0,0.0,2.3067269979046367e-138,1000000,0,2.7055361341498352e-06,2.7055361341498352e-06
