ebn0_db,simulated_ber,theoretical_ber,bits,errors,ber_upper_95,ber_for_lut,receiver,snr_semantics
-5.0,0.35961,0.3644467070550123,100000,35961,0.36210988703196134,0.35961,supplied_part_a_fft_dpsk,waveform_sample_snr_db
-4.0,0.30514,0.33579502456390037,100000,30514,0.30754035539046404,0.30514,supplied_part_a_fft_dpsk,waveform_sample_snr_db
-3.0,0.24034,0.3029054967040009,100000,24034,0.24256954774443912,0.24034,supplied_part_a_fft_dpsk,waveform_sample_snr_db
-2.0,0.19115,0.2660410855852929,100000,19115,0.1932036046727466,0.19115,supplied_part_a_fft_dpsk,waveform_sample_snr_db
-1.0,0.15549,0.2259423467152058,100000,15549,0.15738418592677011,0.15549,supplied_part_a_fft_dpsk,waveform_sample_snr_db
0.0,0.07013,0.18393972058572117,100000,7013,0.07146994497233489,0.07013,supplied_part_a_fft_dpsk,waveform_sample_snr_db
1.0,0.07013,0.14197950080158067,100000,7013,0.07146994497233489,0.07013,supplied_part_a_fft_dpsk,waveform_sample_snr_db
2.0,0.0445,0.1024848421276144,100000,4450,0.04558494220109834,0.06441,supplied_part_a_fft_dpsk,waveform_sample_snr_db
3.0,0.04302,0.06798899021423577,100000,4302,0.044087813821308254,0.06441,supplied_part_a_fft_dpsk,waveform_sample_snr_db
4.0,0.06441,0.04055753839216114,100000,6441,0.06569869189323331,0.06441,supplied_part_a_fft_dpsk,waveform_sample_snr_db
5.0,0.06434,0.021164609811602494,100000,6434,0.06562804754912936,0.06434,supplied_part_a_fft_dpsk,waveform_sample_snr_db
6.0,0.04294,0.00933281228075946,100000,4294,0.0440068783992092,0.04294,supplied_part_a_fft_dpsk,waveform_sample_snr_db
7.0,0.02146,0.0033292124088160078,100000,2146,0.022226804827624336,0.04286,supplied_part_a_fft_dpsk,waveform_sample_snr_db
8.0,0.04286,0.0009094044480786029,100000,4286,0.04392594197840184,0.04286,supplied_part_a_fft_dpsk,waveform_sample_snr_db
9.0,2e-05,0.00017751960085332795,100000,2,6.043513275315252e-05,0.02146,supplied_part_a_fft_dpsk,waveform_sample_snr_db
10.0,0.02146,2.2699964881242427e-05,100000,2146,0.022226804827624336,0.02146,supplied_part_a_fft_dpsk,waveform_sample_snr_db
11.0,0.0,1.7042229507027434e-06,100000,0,2.7054702564219877e-05,2.7054702564219877e-05,supplied_part_a_fft_dpsk,waveform_sample_snr_db
12.0,2e-05,6.544347099567535e-08,100000,2,6.043513275315252e-05,2.7054702564219877e-05,supplied_part_a_fft_dpsk,waveform_sample_snr_db
13.0,0.0,1.0805773770868036e-09,100000,0,2.7054702564219877e-05,2.7054702564219877e-05,supplied_part_a_fft_dpsk,waveform_sample_snr_db
14.0,0.0,6.16574899223656e-12,100000,0,2.7054702564219877e-05,2.7054702564219877e-05,supplied_part_a_fft_dpsk,waveform_sample_snr_db
15.0,0.0,9.233633312048473e-15,100000,0,2.7054702564219877e-05,2.7054702564219877e-05,supplied_part_a_fft_dpsk,waveform_sample_snr_db
16.0,0.0,2.566819125526292e-18,100000,0,2.7054702564219877e-05,2.7054702564219877e-05,supplied_part_a_fft_dpsk,waveform_sample_snr_db
17.0,0.0,8.564164643184703e-23,100000,0,2.7054702564219877e-05,2.7054702564219877e-05,supplied_part_a_fft_dpsk,waveform_sample_snr_db
18.0,0.0,1.9808003401942394e-28,100000,0,2.7054702564219877e-05,2.7054702564219877e-05,supplied_part_a_fft_dpsk,waveform_sample_snr_db
19.0,0.0,1.5912304769367223e-35,100000,0,2.7054702564219877e-05,2.7054702564219877e-05,supplied_part_a_fft_dpsk,waveform_sample_snr_db
20.0,0.0,1.860037988010418e-44,100000,0,2.7054702564219877e-05,2.7054702564219877e-05,supplied_part_a_fft_dpsk,waveform_sample_snr_db
21.0,0.0,1.0581178902603883e-55,100000,0,2.7054702564219877e-05,2.7054702564219877e-05,supplied_part_a_fft_dpsk,waveform_sample_snr_db
22.0,0.0,7.377907655592056e-70,100000,0,2.7054702564219877e-05,2.7054702564219877e-05,supplied_part_a_fft_dpsk,waveform_sample_snr_db
23.0,0.0,1.1112932342313751e-87,100000,0,2.7054702564219877e-05,2.7054702564219877e-05,supplied_part_a_fft_dpsk,waveform_sample_snr_db
24.0,0.0,4.0656348189368424e-110,100000,0,2.7054702564219877e-05,2.7054702564219877e-05,supplied_part_a_fft_dpsk,waveform_sample_snr_db
25.0,0.0,2.3067269979046367e-138,100000,0,2.7054702564219877e-05,2.7054702564219877e-05,supplied_part_a_fft_dpsk,waveform_sample_snr_db
