scheduler,scenario_id,source,seed,vehicles,duration_s,generated_packets,delivered_packets,failed_attempts,deadline_dropped_packets,overflow_dropped_packets,remaining_packets,goodput_mbps,packet_delivery_ratio,scheduled_outage_fraction,availability_outage_fraction,mean_latency_ms,p50_latency_ms,p95_latency_ms,p99_latency_ms,deadline_miss_ratio,censored_packet_ratio,deadline_or_censored_ratio,delivered_before_expiry_ratio,undelivered_packets_at_disconnect,urgent_generated_packets,urgent_delivered_packets,urgent_packet_delivery_ratio,urgent_deadline_miss_ratio,bulk_generated_packets,bulk_delivered_packets,bulk_packet_delivery_ratio,bulk_deadline_miss_ratio,jain_fairness,demand_normalized_jain_fairness,mean_scheduled_snr_db,mean_scheduled_ber,mean_scheduled_per,mean_scheduled_relative_power,switch_count,ablation,channel_mode,traffic_model,history_noise_std_m,forecast_noise_std_m,ber_source
reactive_greedy,synthetic-20260827-v5-slots120-dt0.100000,controlled_synthetic_motion,20260827,5,12.0,3587,2802,327,610,0,175,2.802,0.7811541678282687,0.0,0.2,241.50606709493218,200.0,700.0000000000001,1000.0,0.1700585447449122,0.04878728742681907,0.21884583217173126,0.8629504157684016,4,0,0,0.0,0.0,0,0,0.0,0.0,0.5035101783242929,0.7796453120072867,11.762863169548151,7.77462839382546e-06,0.07801228266788594,0.2752991816577234,107,no_prediction,full,poisson,0.0,0.0,analytical
reactive_greedy,synthetic-20260828-v5-slots120-dt0.100000,controlled_synthetic_motion,20260828,5,12.0,3506,1622,287,1624,0,260,1.622,0.46263548203080435,0.0,0.025,274.5992601726264,200.0,900.0,1300.0,0.4632059326868226,0.07415858528237307,0.5373645179691957,0.4786072587784007,100,0,0,0.0,0.0,0,0,0.0,0.0,0.6698332599225495,0.7700148627258929,16.451540960014462,7.659610088770245e-06,0.06493553344162611,1.4265837850909222,111,no_prediction,full,poisson,0.0,0.0,analytical
reactive_greedy,synthetic-20260829-v5-slots120-dt0.100000,controlled_synthetic_motion,20260829,5,12.0,3487,2224,124,1073,0,190,2.224,0.6377975336965873,0.0,0.18666666666666668,234.3974820143885,200.0,600.0000000000001,1100.0,0.3077143676512762,0.05448809865213651,0.3622024663034127,0.7854560064282845,90,0,0,0.0,0.0,0,0,0.0,0.0,0.6021773060524823,0.7427078682484751,13.07132058220172,2.865956589317804e-06,0.027363915238337137,0.3933588618659398,110,no_prediction,full,poisson,0.0,0.0,analytical
reactive_greedy,synthetic-20260830-v5-slots120-dt0.100000,controlled_synthetic_motion,20260830,5,12.0,3597,2482,269,945,0,170,2.482,0.6900194606616625,0.0,0.2,269.5004029008864,200.0,794.9999999999818,1200.0000000000002,0.2627189324437031,0.04726160689463442,0.3099805393383375,0.8479672019132217,5,0,0,0.0,0.0,0,0,0.0,0.0,0.6490639115212268,0.7471647061931329,11.662417766221502,6.99568079749185e-06,0.06553375592090979,0.2402296702659383,119,no_prediction,full,poisson,0.0,0.0,analytical
reactive_greedy,synthetic-20260831-v5-slots120-dt0.100000,controlled_synthetic_motion,20260831,5,12.0,3507,3222,3,222,0,63,3.222,0.9187339606501284,0.0,0.023333333333333334,235.53693358162633,200.0,500.0,1000.0,0.06330196749358426,0.017964071856287425,0.08126603934987169,0.926394479585969,29,0,0,0.0,0.0,0,0,0.0,0.0,0.6193447927778295,0.8608185619619731,13.670925235073929,1.3537333365590043e-07,0.001539344123244166,0.38506983338616246,118,no_prediction,full,poisson,0.0,0.0,analytical
reactive_greedy,synthetic-20260832-v5-slots120-dt0.100000,controlled_synthetic_motion,20260832,5,12.0,3513,2183,87,1178,0,152,2.183,0.6214062055223456,0.0,0.265,199.58772331653688,100.0,500.0,1100.0,0.33532593225163676,0.043267862226017646,0.3785937944776544,0.8467804499612103,24,0,0,0.0,0.0,0,0,0.0,0.0,0.4382262348734355,0.6642384022533764,17.02200167441593,2.4759980232227928e-06,0.02381441966589304,2.120917331777976,94,no_prediction,full,poisson,0.0,0.0,analytical
reactive_greedy,synthetic-20260833-v5-slots120-dt0.100000,controlled_synthetic_motion,20260833,5,12.0,3568,1392,373,1931,0,245,1.392,0.3901345291479821,0.0,0.45166666666666666,266.16379310344826,200.0,900.0,1200.0000000000002,0.5411995515695067,0.06866591928251121,0.6098654708520179,0.7759197324414716,57,0,0,0.0,0.0,0,0,0.0,0.0,0.3932490684591218,0.4277764591583438,10.73177204187204,1.2721392987595312e-05,0.12184589965029731,0.19042283304810592,74,no_prediction,full,poisson,0.0,0.0,analytical
reactive_greedy,synthetic-20260834-v5-slots120-dt0.100000,controlled_synthetic_motion,20260834,5,12.0,3640,2745,52,801,0,94,2.745,0.7541208791208791,0.0,0.2966666666666667,209.39890710382514,200.0,500.0,900.0,0.22005494505494505,0.025824175824175823,0.24587912087912087,0.9854158454867954,24,0,0,0.0,0.0,0,0,0.0,0.0,0.5043546039524268,0.7306667044130073,13.195611945229926,1.5760588079370275e-06,0.016012026237972647,0.3780532563753157,115,no_prediction,full,poisson,0.0,0.0,analytical
reactive_greedy,synthetic-20260835-v5-slots120-dt0.100000,controlled_synthetic_motion,20260835,5,12.0,3492,2158,213,1184,0,150,2.158,0.6179839633447881,0.0,0.2,234.6153846153846,200.0,600.0000000000001,1000.0,0.33906071019473083,0.0429553264604811,0.3820160366552119,0.7685185185185185,3,0,0,0.0,0.0,0,0,0.0,0.0,0.5191351322428104,0.5998582694464543,13.843119091755266,5.495056956385919e-06,0.05079091077147928,0.5400595974702223,114,no_prediction,full,poisson,0.0,0.0,analytical
reactive_greedy,synthetic-20260836-v5-slots120-dt0.100000,controlled_synthetic_motion,20260836,5,12.0,3635,2502,567,1039,0,94,2.502,0.6883081155433287,0.0,0.4166666666666667,281.0951239008793,100.0,1000.0,1300.0,0.2858321870701513,0.025859697386519945,0.31169188445667123,0.7890255439924314,47,0,0,0.0,0.0,0,0,0.0,0.0,0.34117791326783375,0.4367622340123433,11.35796023473933,1.521146597764544e-05,0.13155547386598532,0.23255241720151695,57,no_prediction,full,poisson,0.0,0.0,analytical
