scheduler,scenario_id,source,seed,vehicles,duration_s,generated_packets,delivered_packets,failed_attempts,deadline_dropped_packets,overflow_dropped_packets,remaining_packets,goodput_mbps,packet_delivery_ratio,scheduled_outage_fraction,availability_outage_fraction,mean_latency_ms,p50_latency_ms,p95_latency_ms,p99_latency_ms,deadline_miss_ratio,censored_packet_ratio,deadline_or_censored_ratio,delivered_before_expiry_ratio,undelivered_packets_at_disconnect,urgent_generated_packets,urgent_delivered_packets,urgent_packet_delivery_ratio,urgent_deadline_miss_ratio,bulk_generated_packets,bulk_delivered_packets,bulk_packet_delivery_ratio,bulk_deadline_miss_ratio,jain_fairness,demand_normalized_jain_fairness,mean_scheduled_snr_db,mean_scheduled_ber,mean_scheduled_per,mean_scheduled_relative_power,switch_count,study,setting,prediction_horizon_s,slot_duration_s,offered_load,traffic_model,traffic_class_mode,packet_bits,deadline_s,reference_snr_db,field_of_view_deg,outage_mode,sensing_model,sensing_covariance_aware,diagnostic_quick_run
reactive_greedy,synthetic-20260827-v5-slots120-dt0.100000,controlled_synthetic_motion,20260827,5,12.0,1526,1248,172,208,0,70,1.248,0.817824377457405,0.0,0.2,230.44871794871796,200.0,600.0000000000001,1000.0,0.1363040629095675,0.045871559633027525,0.182175622542595,0.8888888888888888,4,0,0,0.0,0.0,0,0,0.0,0.0,0.513754737581681,0.787472255527728,11.874864530048521,7.374599959305839e-06,0.07466202496705701,0.2864744588283689,103,offered_load,load=0.3,1.0,0.1,0.3,poisson,single,12000,1.2,18.0,70.0,ber,perfect,True,False
proportional_fair,synthetic-20260827-v5-slots120-dt0.100000,controlled_synthetic_motion,20260827,5,12.0,1526,577,9,838,0,111,0.577,0.3781127129750983,0.0,0.2,574.5233968804159,400.0,1419.9999999999934,1700.0000000000002,0.5491480996068152,0.0727391874180865,0.6218872870249017,0.41096866096866097,4,0,0,0.0,0.0,0,0,0.0,0.0,0.59806709480397,0.5969943340710909,15.47365120933298,2.145994469728765e-07,0.002499417906134682,0.6183095320026312,79,offered_load,load=0.3,1.0,0.1,0.3,poisson,single,12000,1.2,18.0,70.0,ber,perfect,True,False
kalman_predictive,synthetic-20260827-v5-slots120-dt0.100000,controlled_synthetic_motion,20260827,5,12.0,1526,1206,133,216,0,104,1.206,0.7903014416775884,0.0,0.2,311.1940298507463,300.00000000000006,775.0,1000.0,0.14154652686762778,0.06815203145478375,0.20969855832241152,0.8589743589743589,4,0,0,0.0,0.0,0,0,0.0,0.0,0.5323022306805497,0.7840861409617906,14.088364789320162,3.933441313728047e-06,0.04032547813778451,0.5103992478967484,94,offered_load,load=0.3,1.0,0.1,0.3,poisson,single,12000,1.2,18.0,70.0,ber,perfect,True,False
link_lifetime,synthetic-20260827-v5-slots120-dt0.100000,controlled_synthetic_motion,20260827,5,12.0,1526,1206,133,216,0,104,1.206,0.7903014416775884,0.0,0.2,311.1940298507463,300.00000000000006,775.0,1000.0,0.14154652686762778,0.06815203145478375,0.20969855832241152,0.8589743589743589,4,0,0,0.0,0.0,0,0,0.0,0.0,0.5323022306805497,0.7840861409617906,14.088364789320162,3.933441313728047e-06,0.04032547813778451,0.5103992478967484,94,offered_load,load=0.3,1.0,0.1,0.3,poisson,single,12000,1.2,18.0,70.0,ber,perfect,True,False
oracle,synthetic-20260827-v5-slots120-dt0.100000,controlled_synthetic_motion,20260827,5,12.0,1526,1206,133,216,0,104,1.206,0.7903014416775884,0.0,0.2,311.1940298507463,300.00000000000006,775.0,1000.0,0.14154652686762778,0.06815203145478375,0.20969855832241152,0.8589743589743589,4,0,0,0.0,0.0,0,0,0.0,0.0,0.5323022306805497,0.7840861409617906,14.088364789320162,3.933441313728047e-06,0.04032547813778451,0.5103992478967484,94,offered_load,load=0.3,1.0,0.1,0.3,poisson,single,12000,1.2,18.0,70.0,ber,perfect,True,False
reactive_greedy,synthetic-20260827-v5-slots120-dt0.100000,controlled_synthetic_motion,20260827,5,12.0,2500,1998,242,380,0,122,1.998,0.7992,0.0,0.2,239.4894894894895,200.0,700.0000000000001,1000.0,0.152,0.0488,0.2008,0.8698302133217239,3,0,0,0.0,0.0,0,0,0.0,0.0,0.5121374661793326,0.7834785283514494,11.899431036973066,7.452200795640081e-06,0.07524522087437384,0.28806217665880823,109,offered_load,load=0.5,1.0,0.1,0.5,poisson,single,12000,1.2,18.0,70.0,ber,perfect,True,False
proportional_fair,synthetic-20260827-v5-slots120-dt0.100000,controlled_synthetic_motion,20260827,5,12.0,2500,605,1,1669,0,226,0.605,0.242,0.0,0.2,577.6859504132232,400.0,1400.0000000000002,1600.0,0.6676,0.0904,0.758,0.26338702655637786,3,0,0,0.0,0.0,0,0,0.0,0.0,0.5938156539232148,0.49693754867127266,16.10971553832157,4.349439587659924e-08,0.0005183638777813306,0.7090924489072493,67,offered_load,load=0.5,1.0,0.1,0.5,poisson,single,12000,1.2,18.0,70.0,ber,perfect,True,False
kalman_predictive,synthetic-20260827-v5-slots120-dt0.100000,controlled_synthetic_motion,20260827,5,12.0,2500,1850,150,469,0,181,1.85,0.74,0.0,0.2,455.2432432432432,400.0,900.0,1100.0,0.1876,0.0724,0.26,0.805398345668263,3,0,0,0.0,0.0,0,0,0.0,0.0,0.5196274168937743,0.7701673803747159,14.601680715559885,3.425987643316391e-06,0.03600619160501187,0.578848481285102,92,offered_load,load=0.5,1.0,0.1,0.5,poisson,single,12000,1.2,18.0,70.0,ber,perfect,True,False
link_lifetime,synthetic-20260827-v5-slots120-dt0.100000,controlled_synthetic_motion,20260827,5,12.0,2500,1840,198,479,0,181,1.84,0.736,0.0,0.2,487.3369565217391,500.0,1000.0,1200.0000000000002,0.1916,0.0724,0.264,0.8010448410970832,3,0,0,0.0,0.0,0,0,0.0,0.0,0.5171026003283822,0.768308083989988,14.55407584317694,4.125034295143559e-06,0.04173201057582768,0.5751616573808729,88,offered_load,load=0.5,1.0,0.1,0.5,poisson,single,12000,1.2,18.0,70.0,ber,perfect,True,False
oracle,synthetic-20260827-v5-slots120-dt0.100000,controlled_synthetic_motion,20260827,5,12.0,2500,1840,198,479,0,181,1.84,0.736,0.0,0.2,487.3369565217391,500.0,1000.0,1200.0000000000002,0.1916,0.0724,0.264,0.8010448410970832,3,0,0,0.0,0.0,0,0,0.0,0.0,0.5171026003283822,0.768308083989988,14.55407584317694,4.125034295143559e-06,0.04173201057582768,0.5751616573808729,88,offered_load,load=0.5,1.0,0.1,0.5,poisson,single,12000,1.2,18.0,70.0,ber,perfect,True,False
