predictor,scenario_id,actor_id,anchor_index,horizon_steps,ade_m,fde_m,range_mae_m,bearing_mae_deg,snr_mae_db,outage_f1,outage_auroc,link_lifetime_error_steps,link_lifetime_error_s,predicted_link_lifetime_s,actual_link_lifetime_s,actual_link_lifetime_censored,outage_positive_steps
last_position,52dafd686fe77b21,383,9,10,0.022811181781461482,0.010360886315392063,0.009907522632499255,84.86141669089112,165.68447074429378,0.0,0.5,10.0,1.0,1.0,0.0,False,9
last_position,52dafd686fe77b21,387,9,10,0.015217042411315407,0.023624942194146376,0.013128139721328402,84.86473528689234,72.82445914134453,0.75,0.5,1.0,0.1,0.0,0.1,False,6
last_position,52dafd686fe77b21,391,9,10,0.026239069760258284,0.06073571566237257,0.013840088571103148,84.89482517953425,163.33188524725566,0.0,0.5,10.0,1.0,1.0,0.0,False,9
last_position,52dafd686fe77b21,395,9,10,0.30740802167063336,0.6858683210172521,0.3073302661877249,84.82291141189305,90.24140929542679,0.6666666666666666,0.5,1.0,0.1,0.0,0.1,False,5
last_position,52dafd686fe77b21,408,9,10,0.027031302951300455,0.05614650530109273,0.025063141762492424,84.86467410708812,36.31418058517113,0.8888888888888888,0.5,0.0,0.0,0.0,0.0,False,8
constant_velocity,52dafd686fe77b21,383,9,10,0.11790611241802654,0.17077911571066012,0.057197506989632,109.35326618239442,18.418616700504614,0.9473684210526315,0.5,0.0,0.0,0.0,0.0,False,9
constant_velocity,52dafd686fe77b21,387,9,10,0.1007853811480802,0.1892442633440937,0.0954599470864788,109.25214818945351,72.82445914134453,0.75,0.5,1.0,0.1,0.0,0.1,False,6
constant_velocity,52dafd686fe77b21,391,9,10,0.09331106794560473,0.18686700306243004,0.06889044291798978,109.21132537748103,17.846790696280227,0.9473684210526315,0.5,0.0,0.0,0.0,0.0,False,9
constant_velocity,52dafd686fe77b21,395,9,10,0.12678191118300974,0.3416102308478865,0.11309445887352317,109.36816258726965,90.24140929542679,0.6666666666666666,0.5,1.0,0.1,0.0,0.1,False,5
constant_velocity,52dafd686fe77b21,408,9,10,0.18412438271593096,0.34831295781265476,0.17922887192791742,109.26585190942015,145.44884291472252,0.0,0.25,10.0,1.0,1.0,0.0,False,8
kalman_cv,52dafd686fe77b21,383,9,10,0.031218982785719496,0.025194598443782905,0.00954517463743878,71.84296935240873,18.418616700504614,0.9473684210526315,0.5,0.0,0.0,0.0,0.0,False,9
kalman_cv,52dafd686fe77b21,387,9,10,0.015078194987423039,0.021605529009898063,0.00994554566106567,71.79953716277404,109.59066771503312,0.0,0.5,9.0,0.9,1.0,0.1,False,6
kalman_cv,52dafd686fe77b21,391,9,10,0.027843214853826896,0.06523198946158001,0.005583009656485416,71.82503545876405,17.846790696280227,0.9473684210526315,0.5,0.0,0.0,0.0,0.0,False,9
kalman_cv,52dafd686fe77b21,395,9,10,0.21879205139738594,0.5040579686532479,0.21872204660303707,71.80928452585502,91.62379400550194,0.0,0.64,9.0,0.9,1.0,0.1,False,5
kalman_cv,52dafd686fe77b21,408,9,10,0.049384620315791994,0.10173584535577299,0.04671503777628452,71.7874248364711,36.31418058517113,0.8888888888888888,0.5,0.0,0.0,0.0,0.0,False,8
imm,52dafd686fe77b21,383,9,10,0.24353609432761458,0.5370602408913353,0.1036123157459711,108.55885581450215,18.418616700504614,0.9473684210526315,0.5,0.0,0.0,0.0,0.0,False,9
imm,52dafd686fe77b21,387,9,10,0.5255505303215793,1.3303039992497152,0.48319084942218654,108.81172647816811,72.82445914134453,0.75,0.5,1.0,0.1,0.0,0.1,False,6
imm,52dafd686fe77b21,391,9,10,0.21751580151774902,0.5417510841345209,0.14066844825826755,108.87322868585393,17.846790696280227,0.9473684210526315,0.5,0.0,0.0,0.0,0.0,False,9
imm,52dafd686fe77b21,395,9,10,0.1657283367876171,0.4043232203401782,0.10475010130260509,109.1283459178156,90.24140929542679,0.6666666666666666,0.5,1.0,0.1,0.0,0.1,False,5
imm,52dafd686fe77b21,408,9,10,0.5418205278917154,1.3315516646839272,0.51900128047345,108.86010105814594,145.8942857599192,0.0,0.25,10.0,1.0,1.0,0.0,False,8
constant_acceleration,52dafd686fe77b21,383,9,10,0.4564193488785892,1.0497483633146272,0.21068578191419968,107.7905117561613,18.418616700504614,0.9473684210526315,0.5,0.0,0.0,0.0,0.0,False,9
