scheduler,scenario_id,source,seed,vehicles,duration_s,generated_packets,delivered_packets,failed_attempts,deadline_dropped_packets,overflow_dropped_packets,remaining_packets,goodput_mbps,packet_delivery_ratio,scheduled_outage_fraction,availability_outage_fraction,mean_latency_ms,p95_latency_ms,deadline_miss_ratio,jain_fairness,switch_count,prediction_horizon_steps
reactive_greedy,synthetic-20260827,controlled_synthetic_motion,20260827,5,12.0,3587,2802,327,610,0,175,2.802,0.7811541678282687,0.0,0.2,241.50606709493218,700.0000000000001,0.1700585447449122,0.5035101783242929,107,3
predictive_utility,synthetic-20260827,controlled_synthetic_motion,20260827,5,12.0,3587,2652,249,739,0,196,2.652,0.7393364928909952,0.0,0.2,536.4630467571644,1000.0,0.2060217451909674,0.5114170179440511,86,3
link_lifetime,synthetic-20260827,controlled_synthetic_motion,20260827,5,12.0,3587,2886,768,488,0,213,2.886,0.8045720657931419,0.0,0.2,300.55440055440056,700.0000000000001,0.13604683579592974,0.5277906731377928,114,3
oracle,synthetic-20260827,controlled_synthetic_motion,20260827,5,12.0,3587,2652,249,739,0,196,2.652,0.7393364928909952,0.0,0.2,536.4630467571644,1000.0,0.2060217451909674,0.5114170179440511,86,3
reactive_greedy,synthetic-20260828,controlled_synthetic_motion,20260828,5,12.0,3506,1622,287,1624,0,260,1.622,0.46263548203080435,0.0,0.025,274.5992601726264,900.0,0.4632059326868226,0.6698332599225495,111,3
predictive_utility,synthetic-20260828,controlled_synthetic_motion,20260828,5,12.0,3506,1630,2152,1603,0,273,1.63,0.46491728465487736,0.0,0.025,724.5398773006135,1400.0000000000002,0.4572162007986309,0.8075880264565704,94,3
link_lifetime,synthetic-20260828,controlled_synthetic_motion,20260828,5,12.0,3506,1555,2886,1663,0,288,1.555,0.4435253850541928,0.0,0.025,822.9581993569132,1400.0000000000002,0.47432972047917854,0.8207420205047613,76,3
oracle,synthetic-20260828,controlled_synthetic_motion,20260828,5,12.0,3506,1630,2152,1603,0,273,1.63,0.46491728465487736,0.0,0.025,724.5398773006135,1400.0000000000002,0.4572162007986309,0.8075880264565704,94,3
reactive_greedy,synthetic-20260829,controlled_synthetic_motion,20260829,5,12.0,3487,2224,124,1073,0,190,2.224,0.6377975336965873,0.0,0.18666666666666668,234.3974820143885,600.0000000000001,0.3077143676512762,0.6021773060524823,110,3
predictive_utility,synthetic-20260829,controlled_synthetic_motion,20260829,5,12.0,3487,2286,1245,997,0,204,2.286,0.6555778606251792,0.0,0.18666666666666668,401.4435695538058,900.0,0.2859191281904216,0.6441627406459629,91,3
link_lifetime,synthetic-20260829,controlled_synthetic_motion,20260829,5,12.0,3487,2273,1578,1026,0,188,2.273,0.6518497275595068,0.0,0.18666666666666668,458.6449626044875,1100.0,0.29423573272153714,0.6386461247877733,96,3
oracle,synthetic-20260829,controlled_synthetic_motion,20260829,5,12.0,3487,2286,1245,997,0,204,2.286,0.6555778606251792,0.0,0.18666666666666668,401.4435695538058,900.0,0.2859191281904216,0.6441627406459629,91,3
reactive_greedy,synthetic-20260830,controlled_synthetic_motion,20260830,5,12.0,3597,2482,269,945,0,170,2.482,0.6900194606616625,0.0,0.2,269.5004029008864,794.9999999999818,0.2627189324437031,0.6490639115212268,119,3
predictive_utility,synthetic-20260830,controlled_synthetic_motion,20260830,5,12.0,3597,2641,642,771,0,185,2.641,0.7342229635807618,0.0,0.2,390.3445664521015,900.0,0.21434528773978315,0.6940010915156795,106,3
link_lifetime,synthetic-20260830,controlled_synthetic_motion,20260830,5,12.0,3597,2759,777,693,0,145,2.759,0.7670280789546845,0.0,0.2,340.92062341428056,900.0,0.1926605504587156,0.7098984171541415,112,3
oracle,synthetic-20260830,controlled_synthetic_motion,20260830,5,12.0,3597,2641,642,771,0,185,2.641,0.7342229635807618,0.0,0.2,390.3445664521015,900.0,0.21434528773978315,0.6940010915156795,106,3
reactive_greedy,synthetic-20260831,controlled_synthetic_motion,20260831,5,12.0,3507,3222,3,222,0,63,3.222,0.9187339606501284,0.0,0.023333333333333334,235.53693358162633,500.0,0.06330196749358426,0.6193447927778295,118,3
predictive_utility,synthetic-20260831,controlled_synthetic_motion,20260831,5,12.0,3507,3308,44,129,0,70,3.308,0.9432563444539492,0.0,0.023333333333333334,326.360338573156,600.0000000000001,0.036783575705731396,0.6546349062394188,117,3
link_lifetime,synthetic-20260831,controlled_synthetic_motion,20260831,5,12.0,3507,3311,136,124,0,72,3.311,0.9441117764471058,0.0,0.023333333333333334,258.86439142253096,500.0,0.035357855717137156,0.6515618894052081,118,3
oracle,synthetic-20260831,controlled_synthetic_motion,20260831,5,12.0,3507,3308,44,129,0,70,3.308,0.9432563444539492,0.0,0.023333333333333334,326.360338573156,600.0000000000001,0.036783575705731396,0.6546349062394188,117,3
reactive_greedy,synthetic-20260832,controlled_synthetic_motion,20260832,5,12.0,3513,2183,87,1178,0,152,2.183,0.6214062055223456,0.0,0.265,199.58772331653688,500.0,0.33532593225163676,0.4382262348734355,94,3
predictive_utility,synthetic-20260832,controlled_synthetic_motion,20260832,5,12.0,3513,2287,611,1054,0,172,2.287,0.6510105323085682,0.0,0.265,304.4162658504591,700.0000000000001,0.3000284656988329,0.4789783188314486,93,3
link_lifetime,synthetic-20260832,controlled_synthetic_motion,20260832,5,12.0,3513,2306,884,1055,0,152,2.306,0.6564190150868204,0.0,0.265,303.77276669557676,800.0,0.300313122687162,0.4716955324235261,106,3
oracle,synthetic-20260832,controlled_synthetic_motion,20260832,5,12.0,3513,2287,611,1054,0,172,2.287,0.6510105323085682,0.0,0.265,304.4162658504591,700.0000000000001,0.3000284656988329,0.4789783188314486,93,3
reactive_greedy,synthetic-20260833,controlled_synthetic_motion,20260833,5,12.0,3568,1392,373,1931,0,245,1.392,0.3901345291479821,0.0,0.45166666666666666,266.16379310344826,900.0,0.5411995515695067,0.3932490684591218,74,3
predictive_utility,synthetic-20260833,controlled_synthetic_motion,20260833,5,12.0,3568,1419,452,1902,0,247,1.419,0.3977017937219731,0.0,0.45166666666666666,327.6250880902044,1000.0,0.5330717488789237,0.40740509933928926,47,3
link_lifetime,synthetic-20260833,controlled_synthetic_motion,20260833,5,12.0,3568,1492,708,1831,0,245,1.492,0.41816143497757846,0.0,0.45166666666666666,301.87667560321717,900.0,0.5131726457399103,0.42585920267522187,68,3
oracle,synthetic-20260833,controlled_synthetic_motion,20260833,5,12.0,3568,1419,452,1902,0,247,1.419,0.3977017937219731,0.0,0.45166666666666666,327.6250880902044,1000.0,0.5330717488789237,0.40740509933928926,47,3
reactive_greedy,synthetic-20260834,controlled_synthetic_motion,20260834,5,12.0,3640,2745,52,801,0,94,2.745,0.7541208791208791,0.0,0.2966666666666667,209.39890710382514,500.0,0.22005494505494505,0.5043546039524268,115,3
predictive_utility,synthetic-20260834,controlled_synthetic_motion,20260834,5,12.0,3640,2618,685,794,0,228,2.618,0.7192307692307692,0.0,0.2966666666666667,467.7616501145913,1000.0,0.21813186813186813,0.5343336152895638,98,3
link_lifetime,synthetic-20260834,controlled_synthetic_motion,20260834,5,12.0,3640,2722,748,782,0,136,2.722,0.7478021978021978,0.0,0.2966666666666667,296.21601763409257,700.0000000000001,0.21483516483516482,0.5178308269809642,108,3
oracle,synthetic-20260834,controlled_synthetic_motion,20260834,5,12.0,3640,2618,685,794,0,228,2.618,0.7192307692307692,0.0,0.2966666666666667,467.7616501145913,1000.0,0.21813186813186813,0.5343336152895638,98,3
reactive_greedy,synthetic-20260835,controlled_synthetic_motion,20260835,5,12.0,3492,2158,213,1184,0,150,2.158,0.6179839633447881,0.0,0.2,234.6153846153846,600.0000000000001,0.33906071019473083,0.5191351322428104,114,3
predictive_utility,synthetic-20260835,controlled_synthetic_motion,20260835,5,12.0,3492,2046,2359,1210,0,236,2.046,0.5859106529209622,0.0,0.2,568.377321603128,1000.0,0.3465063001145475,0.5157341369331055,93,3
link_lifetime,synthetic-20260835,controlled_synthetic_motion,20260835,5,12.0,3492,2036,2567,1220,0,236,2.036,0.5830469644902635,0.0,0.2,580.3045186640471,1000.0,0.34936998854524626,0.510205975568479,87,3
oracle,synthetic-20260835,controlled_synthetic_motion,20260835,5,12.0,3492,2046,2359,1210,0,236,2.046,0.5859106529209622,0.0,0.2,568.377321603128,1000.0,0.3465063001145475,0.5157341369331055,93,3
