ebn0_db,simulated_ber,theoretical_ber,bits,errors,ber_upper_95,ber_for_lut,receiver,snr_semantics
-5.0,0.356064,0.3644467070550123,250000,89016,0.35764077508475717,0.356064,supplied_part_a_fft_dpsk,waveform_sample_snr_db
-4.0,0.303556,0.33579502456390037,250000,75889,0.30507070414864923,0.303556,supplied_part_a_fft_dpsk,waveform_sample_snr_db
-3.0,0.2412,0.3029054967040009,250000,60300,0.24261017005501606,0.2412,supplied_part_a_fft_dpsk,waveform_sample_snr_db
-2.0,0.19262,0.2660410855852929,250000,48155,0.1939206431965926,0.19262,supplied_part_a_fft_dpsk,waveform_sample_snr_db
-1.0,0.142908,0.2259423467152058,250000,35727,0.14406319319516597,0.142908,supplied_part_a_fft_dpsk,waveform_sample_snr_db
0.0,0.085016,0.18393972058572117,250000,21254,0.08593801446386376,0.08698,supplied_part_a_fft_dpsk,waveform_sample_snr_db
1.0,0.080348,0.14197950080158067,250000,20087,0.0812467932470839,0.08698,supplied_part_a_fft_dpsk,waveform_sample_snr_db
2.0,0.08698,0.1024848421276144,250000,21745,0.08791153389803691,0.08698,supplied_part_a_fft_dpsk,waveform_sample_snr_db
3.0,0.034568,0.06798899021423577,250000,8642,0.035174028151484016,0.051496,supplied_part_a_fft_dpsk,waveform_sample_snr_db
4.0,0.042984,0.04055753839216114,250000,10746,0.04365618243188943,0.051496,supplied_part_a_fft_dpsk,waveform_sample_snr_db
5.0,0.051496,0.021164609811602494,250000,12874,0.05222791483983275,0.051496,supplied_part_a_fft_dpsk,waveform_sample_snr_db
6.0,0.017252,0.00933281228075946,250000,4313,0.017685603166426204,0.051424,supplied_part_a_fft_dpsk,waveform_sample_snr_db
7.0,0.0086,0.0033292124088160078,250000,2150,0.008909123108347067,0.051424,supplied_part_a_fft_dpsk,waveform_sample_snr_db
8.0,0.051424,0.0009094044480786029,250000,12856,0.05215543476693353,0.051424,supplied_part_a_fft_dpsk,waveform_sample_snr_db
9.0,0.025704,0.00017751960085332795,250000,6426,0.02622975403159888,0.025704,supplied_part_a_fft_dpsk,waveform_sample_snr_db
10.0,0.025704,2.2699964881242427e-05,250000,6426,0.02622975403159888,0.025704,supplied_part_a_fft_dpsk,waveform_sample_snr_db
11.0,8e-06,1.7042229507027434e-06,250000,2,2.4174493781208182e-05,1.0822056698203011e-05,supplied_part_a_fft_dpsk,waveform_sample_snr_db
12.0,8e-06,6.544347099567535e-08,250000,2,2.4174493781208182e-05,1.0822056698203011e-05,supplied_part_a_fft_dpsk,waveform_sample_snr_db
13.0,0.0,1.0805773770868036e-09,250000,0,1.0822056698203011e-05,1.0822056698203011e-05,supplied_part_a_fft_dpsk,waveform_sample_snr_db
14.0,0.0,6.16574899223656e-12,250000,0,1.0822056698203011e-05,1.0822056698203011e-05,supplied_part_a_fft_dpsk,waveform_sample_snr_db
15.0,0.0,9.233633312048473e-15,250000,0,1.0822056698203011e-05,1.0822056698203011e-05,supplied_part_a_fft_dpsk,waveform_sample_snr_db
16.0,0.0,2.566819125526292e-18,250000,0,1.0822056698203011e-05,1.0822056698203011e-05,supplied_part_a_fft_dpsk,waveform_sample_snr_db
17.0,0.0,8.564164643184703e-23,250000,0,1.0822056698203011e-05,1.0822056698203011e-05,supplied_part_a_fft_dpsk,waveform_sample_snr_db
18.0,0.0,1.9808003401942394e-28,250000,0,1.0822056698203011e-05,1.0822056698203011e-05,supplied_part_a_fft_dpsk,waveform_sample_snr_db
19.0,0.0,1.5912304769367223e-35,250000,0,1.0822056698203011e-05,1.0822056698203011e-05,supplied_part_a_fft_dpsk,waveform_sample_snr_db
20.0,0.0,1.860037988010418e-44,250000,0,1.0822056698203011e-05,1.0822056698203011e-05,supplied_part_a_fft_dpsk,waveform_sample_snr_db
21.0,0.0,1.0581178902603883e-55,250000,0,1.0822056698203011e-05,1.0822056698203011e-05,supplied_part_a_fft_dpsk,waveform_sample_snr_db
22.0,0.0,7.377907655592056e-70,250000,0,1.0822056698203011e-05,1.0822056698203011e-05,supplied_part_a_fft_dpsk,waveform_sample_snr_db
23.0,0.0,1.1112932342313751e-87,250000,0,1.0822056698203011e-05,1.0822056698203011e-05,supplied_part_a_fft_dpsk,waveform_sample_snr_db
24.0,0.0,4.0656348189368424e-110,250000,0,1.0822056698203011e-05,1.0822056698203011e-05,supplied_part_a_fft_dpsk,waveform_sample_snr_db
25.0,0.0,2.3067269979046367e-138,250000,0,1.0822056698203011e-05,1.0822056698203011e-05,supplied_part_a_fft_dpsk,waveform_sample_snr_db
