ebn0_db,simulated_ber,theoretical_ber,bits,errors
-4.0,0.334668,0.33579502456390037,250000,83667
-3.0,0.30234,0.3029054967040009,250000,75585
-2.0,0.264576,0.2660410855852929,250000,66144
-1.0,0.226624,0.2259423467152058,250000,56656
0.0,0.184728,0.18393972058572117,250000,46182
1.0,0.14256,0.14197950080158067,250000,35640
2.0,0.101968,0.1024848421276144,250000,25492
3.0,0.066992,0.06798899021423577,250000,16748
4.0,0.040768,0.04055753839216114,250000,10192
5.0,0.021152,0.021164609811602494,250000,5288
6.0,0.00928,0.00933281228075946,250000,2320
7.0,0.003488,0.0033292124088160078,250000,872
8.0,0.00084,0.0009094044480786029,250000,210
9.0,0.00018,0.00017751960085332795,250000,45
10.0,2.4e-05,2.2699964881242427e-05,250000,6
11.0,0.0,1.7042229507027434e-06,250000,0
12.0,0.0,6.544347099567535e-08,250000,0
13.0,0.0,1.0805773770868036e-09,250000,0
14.0,0.0,6.16574899223656e-12,250000,0
15.0,0.0,9.233633312048473e-15,250000,0
16.0,0.0,2.566819125526292e-18,250000,0
